rank,rank_change,brand,model,vehicle,units_sold,segment,powertrain,target_tag,image_url,price_url,catalog_url,active,note,image_file,image_source_url,image_review_status,image_source_type
39,▼4,쉐보레,트랙스 크로스오버,쉐보레 트랙스 크로스오버,842,SUV,,패밀리/장기렌트/레저,https://www.chevrolet.co.kr/content/dam/chevrolet/as/kr/ko/index/suvs/2026/trax/masthead/v2/trax-mast-l-xl.png?imwidth=1200,https://www.chevrolet.co.kr/cuvs/trax-crossover,,Y,쉐보레 공식 모델/가격 확인 페이지,,https://www.chevrolet.co.kr/cuvs/trax-crossover,approved,official_site
40,▼4,기아,EV6,기아 EV6,820,전기차,전기,전기차/법인/출퇴근/친환경,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krcv253/ev6_s_swp.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ev6.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/ev6/features,approved,official_site
41,▼4,현대,캐스퍼 일렉트릭,현대 캐스퍼 일렉트릭,774,경차/소형,전기,가성비/단기렌트/대차/도심형,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000064746/15e01dcffaf84e6fae36f0a4ae6a943f.jpg,https://m.casper.hyundai.com/wcontents/repn-car/catalog/AX05/AX_CASPER_Electric_price.pdf,,Y,직접 PDF URL,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000180743,approved,official_newsroom
42,▼4,현대,더 뉴 아이오닉 6,현대 더 뉴 아이오닉 6,773,전기차,전기,전기차/법인/출퇴근/친환경,https://www.hyundai.com/contents/repn-car/side-45/ioniq6-25fl-45side.png,https://www.hyundai.com/contents/repn-car/catalog/ioniq6-pe_price.pdf,https://www.hyundai.com/contents/repn-car/catalog/the-new-ioniq6-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundai.com/kr/ko/e/vehicles/the-new-ioniq6/intro,approved,official_site
43,▼4,르노,아르카나,르노 아르카나,763,SUV,,패밀리/장기렌트/레저,https://cdn.renault.co.kr/ko/resource/img/upload/asset/arkana/main/overview_main_mo.webp,https://cdn.renault.co.kr/upload/asset/price/price_Arkana_202607.pdf,https://cdn.renault.co.kr/upload/asset/ebrochure/eBrochure_Arkana_202607.pdf,Y,아르카나 전용 공식 가격표(CDN 직접 PDF),,https://www.renault.co.kr/ko/model/arkana_overview.jsp,approved,official_site
44,NEW,BMW,X3,BMW X3,743,SUV,,패밀리/장기렌트/레저,https://bmw.scene7.com/is/image/BMW/g45_ice_intro-1%3A16to7?fit=constrain%2C1&fmt=webp&wid=2560,https://www.bmw.co.kr/ko/all-models/x-series/x3/bmw-x3.html,,Y,BMW 코리아 공식 모델/가격 확인 페이지,,https://www.bmw.co.kr/ko/all-models/x-series/x3/bmw-x3.html,approved,official_site
45,▼5,현대,캐스퍼,현대 캐스퍼,711,경차/소형,,가성비/단기렌트/대차/도심형,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000064744/1b6f401b5a914ab9bf3b23b8581aabf9.jpg,https://m.casper.hyundai.com/wcontents/repn-car/catalog/AX04/AX_The_new_CASPER_price.pdf,,Y,직접 PDF URL,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000180743,approved,official_newsroom
46,NEW,BYD,SEALION 7,BYD SEALION 7,655,전기차,전기,전기차/법인/출퇴근/친환경,https://www.bydauto.kr/static/images/model/byd_sealion7/spac_img1_2.png,https://www.bydauto.kr/purchase/build-my-car/sealion7,https://www.bydauto.kr/static/file/BYD_SEALION_7_Catalog.pdf,Y,공식 홈페이지 구매/견적 및 카탈로그 페이지,,https://www.bydauto.kr/car/byd-sealion7,approved,official_site
47,▼6,KGM,뉴 토레스,KGM 뉴 토레스,624,SUV,,패밀리/장기렌트/레저,https://www.kg-mobility.com/attached/contents/display/image/200000100010001/20241212062925448_pq0xqJ.png,https://www.kg-mobility.com/pr/model/show-room/200000100010001,,Y,official model page,,https://www.kg-mobility.com/pr/model/show-room/200000100010001,approved,official_site
48,NEW,아우디,The new A6,아우디 The new A6,615,세단,,개인/법인/출퇴근,https://uploads.audi.com/system/production/media/127494/images/a794774d4b2754c3da8064fbff01e0efe231ed99/A250422_web_2880.jpg?1743495779,https://www.audi.co.kr/kr/web/ko/models.html,,Y,아우디 코리아 공식 모델/가격 확인 페이지,,https://www.audi-mediacenter.com/en/photos/detail/audi-a6-sedan-127494,approved,official_media_center
49,▼7,기아,버스/특수,기아 버스/특수,603,상용,,업무/상용/법인,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krqf264/granbird_s.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_new-granbird.pdf,https://www.kia.com/kr/vehicles/catalog-price,Y,official direct PDF,,https://www.kia.com/kr/vehicles/granbird/features,approved,official_site
50,▼7,KGM,무쏘 EV,KGM 무쏘 EV,578,상용/업무용,전기,법인/소상공인/물류/업무용,https://www.kg-mobility.com/attached/contents/display/image/200000100030003/20250304093959205_CZWAVZ.png,https://www.kg-mobility.com/pr/model,,Y,공식 홈페이지 모델/가격 확인 페이지,,https://www.kg-mobility.com/pr/model/show-room/200000100030003,approved,official_site
